Timestamp,Actual Grade,Predicted Grade
7/7/2017 7:46:07,26,30
7/7/2017 7:56:25,5,7
7/7/2017 8:01:13,35,35
7/7/2017 9:09:49,39,42
7/7/2017 9:35:56,29,29
7/7/2017 9:36:22,43,45
7/7/2017 9:38:37,36,41
7/7/2017 9:45:21,44,45
7/7/2017 9:56:13,25,24
7/7/2017 9:56:43,42,44
7/7/2017 10:25:45,41,42
7/7/2017 10:55:53,33,29
7/7/2017 11:11:03,34,32
7/7/2017 11:11:33,40,39
7/7/2017 12:59:08,36,35
7/7/2017 13:07:09,43,41
7/7/2017 13:35:41,42,40
7/7/2017 14:49:40,7,7
7/7/2017 14:49:48,6,6
7/7/2017 14:50:42,41,38
7/7/2017 14:57:29,37,38
7/7/2017 15:17:30,39,32
7/7/2017 15:30:49,30,36
7/7/2017 15:55:22,38,39
7/7/2017 15:57:31,42,43
7/7/2017 16:44:38,39,43
7/7/2017 17:38:12,44,42
7/7/2017 22:29:49,40,42
7/7/2017 22:43:15,24,24
7/7/2017 22:43:51,29,36
7/7/2017 22:44:18,24,28
7/7/2017 23:01:33,40,40
7/8/2017 1:15:49,33,36
7/8/2017 9:34:58,40,39
7/8/2017 9:58:35,43,37
7/8/2017 12:27:15,35,38
7/8/2017 13:43:03,37,39
7/8/2017 16:17:34,39,42
7/8/2017 17:09:10,40,39
7/8/2017 17:56:35,36,32
7/8/2017 18:53:33,30,28
7/8/2017 20:05:42,32,30
7/8/2017 21:31:25,45,45
7/8/2017 21:51:45,36,35
7/8/2017 23:32:09,42,39
7/9/2017 1:43:33,45,44
7/9/2017 5:00:30,34,39
7/9/2017 13:08:24,43,43
7/9/2017 13:24:49,37,34
7/9/2017 15:16:47,38,42
7/9/2017 17:00:36,30,33
7/9/2017 17:01:47,44,45
7/9/2017 18:10:22,34,36
7/9/2017 19:23:02,39,37
7/9/2017 20:56:37,39,38
7/10/2017 3:10:31,45,45
7/10/2017 3:37:03,37,39
7/10/2017 5:59:32,42,45
7/10/2017 8:49:15,33,34
7/10/2017 14:18:13,35,40
7/10/2017 16:31:04,39,39
7/10/2017 18:23:48,42,40
7/10/2017 21:09:26,1,1
7/11/2017 0:19:14,43,38
7/11/2017 4:12:07,41,42
7/11/2017 14:29:50,31,19
7/11/2017 17:17:02,36,36
7/11/2017 23:00:17,12,11
7/12/2017 2:00:18,1,1
7/12/2017 4:14:20,42,42
7/12/2017 21:46:59,35,32
7/13/2017 8:36:06,4,6
7/13/2017 10:05:54,42,43
7/13/2017 12:24:12,42,40
7/13/2017 13:04:47,7,5
7/13/2017 13:04:54,7,7
7/13/2017 18:45:14,39,39
7/14/2017 11:05:57,40,38
7/14/2017 11:20:08,45,45
7/14/2017 17:33:37,45,45
7/14/2017 21:47:49,41,43
